date,Open,High,Low,Close,Volume,return_1d,rsi_14,vol_ma5,pos,neg,neu,count,pos_lag1,neg_lag1,pos_3d,neg_3d,close_t+1,target_up
2010-01-04,6.407194179053124,6.439315641110835,6.3756731331389895,6.424605846405029,493729600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.435712814331055,1
2010-01-05,6.442317391160505,6.472037185269431,6.4017897068824965,6.435712814331055,601904800.0,0.0017288170187499396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333343029022217,0
2010-01-06,6.435711544814556,6.461228822173879,6.326738453495593,6.333343029022217,552160000.0,-0.01590651855702463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.321635723114014,0
2010-01-07,6.356759662485861,6.364264863379803,6.275705096078485,6.321635723114014,477131200.0,-0.001848519155611017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.363663196563721,1
2010-01-08,6.313229455727773,6.364264013366788,6.276005267512686,6.363663196563721,447610800.0,0.006648196019273911,0.0,514507280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3075270652771,0
2010-01-11,6.388280620967726,6.394284781604259,6.257693333617454,6.3075270652771,462229600.0,-0.008821354863175923,0.0,508207280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.235776424407959,0
2010-01-12,6.279905790458578,6.297318252305418,6.196750593488335,6.235776424407959,594459600.0,-0.011375399602187586,0.0,506718240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3237385749816895,1
2010-01-13,6.240283528305532,6.332144401838027,6.127107478718295,6.3237385749816895,605892000.0,0.014106046238192782,0.0,517464640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.287112236022949,0
2010-01-14,6.307526379969183,6.31803325912976,6.274804108867116,6.287112236022949,432894000.0,-0.00579188062954461,0.0,508617200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.182042598724365,0
2010-01-15,6.332143009416752,6.352256947828559,6.180241350508382,6.182042598724365,594067600.0,-0.016711907367673806,0.0,537908560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.455527305603027,1
2010-01-19,6.254092473293869,6.460030427258435,6.221370991700261,6.455527305603027,730007600.0,0.04423856719057451,0.0,591464160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.356160640716553,0
2010-01-20,6.451624005326168,6.470836921805907,6.289215440714218,6.356160640716553,612152800.0,-0.015392493933102935,0.0,595002800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24628496170044,0
2010-01-21,6.366666377134003,6.403590762223772,6.220467872859289,6.24628496170044,608154400.0,-0.017286485541643803,0.0,595455280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.936478137969971,0
2010-01-22,6.207559986925345,6.229174164262463,5.918766665167428,5.936478137969971,881767600.0,-0.04959857349289587,0.0,685230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.096185684204102,1
2010-01-25,6.079374433401396,6.145117995477656,6.009727765674213,6.096185684204102,1065699600.0,0.02690274309487206,39.61133794961104,779556400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18234395980835,1
2010-01-26,6.182644167900338,6.415600436728625,6.081476445771641,6.18234395980835,1867110000.0,0.014133144898701877,42.62257467967291,1006976880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.240583419799805,1
2010-01-27,6.20966238568723,6.321637203565409,5.98991486179197,6.240583419799805,1722568400.0,0.009420287898905588,47.65192404810643,1229060000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98270845413208,0
