Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-01-03,178.44314575195312,179.2961065398854,174.22742479359925,174.34506836720536,104487900
2022-01-04,176.1783905029297,179.35490114678188,175.60975505040156,179.05097865451486,99310400
2022-01-05,171.4920654296875,176.6391804132829,171.21755382734324,176.09015720859438,94537600
2022-01-06,168.62930297851562,171.8646356206371,168.27635732737943,169.31558203356892,96904000
2022-01-07,168.79595947265625,170.72735431349597,167.6783008049415,169.50185073224034,86709100
2022-01-10,168.81558227539062,169.1195047889858,164.87435832287932,165.76652857616685,106765600
2022-01-11,171.64894104003906,171.74697235390423,167.4724300834058,168.94303442923228,76138300
2022-01-12,172.0901336669922,173.70779259806037,171.39405592953122,172.66856783412447,74805200
2022-01-13,168.81558227539062,173.15876005827155,168.42341212900857,172.3352251905114,84505800
2022-01-14,169.67832946777344,170.37440711806423,167.7371210418755,167.9822217558743,80440800
2022-01-18,166.47242736816406,169.1587219328493,166.0900708080933,168.14890807010434,90956700
2022-01-19,162.97235107421875,167.72731057448723,162.68804084831785,166.66847376948644,94815000
2022-01-20,161.2860870361328,166.35476859042288,160.9625522612085,163.7076835662155,91420500
2022-01-21,159.22718811035156,163.0703644650388,159.11934322714387,161.19779192923076,122848900
2022-01-24,158.45269775390625,159.11937944541725,151.6683120872291,156.88406222991276,162294600
2022-01-25,156.64878845214844,159.5703851718754,153.94288158687402,155.86446306866296,115798400
2022-01-26,156.56056213378906,161.1684533792907,154.727213256224,160.29589528165266,108275300
2022-01-27,156.09976196289062,160.6292188937634,155.17818077822113,159.26645936487785,121954600
2022-01-28,166.99203491210938,167.01164715968335,159.6096019553616,162.46257810702824,179935700
2022-01-31,171.35482788085938,171.57051772849903,166.1881001011021,166.82537099995082,115541600
2022-02-01,171.18814086914062,171.41362933410613,168.93321134020488,170.59989317993646,86213900
2022-02-02,172.39405822753906,172.4332827246188,169.93325210735014,171.32542255843316,84914300
2022-02-03,169.5116729736328,172.7862303680274,168.746959829252,171.06071151115776,89418100
2022-02-04,169.22698974609375,170.90562127726093,167.54835821492657,168.53001022690665,82465400
2022-02-07,168.51039123535156,170.75836779564654,167.81341170266444,169.68837067678015,77251200
2022-02-08,171.6222381591797,172.1327014444133,168.28461203735645,168.57911066263827,74829200
2022-02-09,173.04562377929688,173.4088302479398,171.6909391445202,172.81984799977465,71285000
2022-02-10,168.96194458007812,172.26029603848204,168.40241070544232,170.94488589786454,90865900
2022-02-11,165.5458221435547,169.90436019586866,164.95682484720066,169.16812106483786,98670700
2022-02-14,165.78140258789062,166.46855602542965,163.50396264767951,164.2990984096048,86185500
2022-02-15,169.61965942382812,169.77672735442647,167.1262696855739,167.83306039444423,62527400
2022-02-16,169.38406372070312,170.15956224722075,166.9299336029845,168.6969102835062,61177400
2022-02-17,165.78140258789062,168.75580709374077,165.37892165346722,167.89194849865083,69589300
2022-02-18,164.23037719726562,167.4109199862711,163.14074291393072,166.70414435001902,82772700
2022-02-22,161.30508422851562,163.6315949695041,159.17488593776793,161.95296324654277,91162800
2022-02-23,157.1330108642578,163.10144062873755,156.81887509832848,162.5026324314003,90009200
2022-02-24,159.75404357910156,159.86202589264875,149.2110962540396,149.78045618194105,141147500
2022-02-25,161.8253631591797,162.09039845532038,157.91837681162906,160.83388489976153,91974200
2022-02-28,162.0903778076172,162.38487641130448,159.44973145996255,160.06817702982372,95056600
2022-03-01,160.2056121826172,163.5432381527931,158.99818435052663,161.67809026330085,83474400
2022-03-02,163.50396728515625,164.28929194125575,159.96020269374122,161.37378407895594,79724800
2022-03-03,163.18002319335938,165.81085859107165,162.51250696008478,165.3789292736247,76678400
2022-03-04,160.1761474609375,162.51248390357455,159.1257876596409,161.4719352294381,83737200
2022-03-07,156.3771514892578,161.99220158513262,156.12191240746935,160.36265582763468,96418800
2022-03-08,154.5513153076172,159.8915053454628,152.94140639728047,155.90600005394768,131148300
2022-03-09,159.96022033691406,160.41178693209494,156.4851781973253,158.5171904285803,91454900
2022-03-10,155.61146545410156,157.4471497383223,153.11806120676204,157.26063347822767,105342000
2022-03-11,151.89100646972656,156.3575259685623,151.665230708696,156.01394178449013,96970100
2022-03-14,147.85638427734375,151.29216546010153,147.34593614351098,148.67115704099865,108732100
2022-03-15,152.244384765625,152.71558844748628,147.62081285085458,148.1312610379761,92964300
2022-03-16,156.6618194580078,157.06430032250074,151.6259555145145,154.16843028106842,102300200
2022-03-17,157.6729278564453,158.04596038224682,154.73779817864818,155.6998128738619,75615400
2022-03-18,160.9713134765625,161.4621395458107,156.82874025380204,157.5649793576743,123511700
2022-03-21,162.34561157226562,163.2978152048177,160.0190861607253,160.50991215775952,95811400
2022-03-22,165.7224884033203,166.31147058252574,161.88422570672876,162.4732078859342,81532000
2022-03-23,167.0869903564453,169.47239748158006,164.57394870167656,164.90772175927947,98062700
2022-03-24,170.8761749267578,170.94488277941835,167.08699751675573,167.9213927494687,90131400
2022-03-25,171.51422119140625,172.0639438588756,169.58036574981767,170.6896371902022,80546200
2022-03-28,172.37811279296875,172.5057173789197,168.8441592815926,169.01103833923784,90371900
2022-03-29,175.6764678955078,175.7255385178658,173.1045291861119,173.44811341555265,100589400
2022-03-30,174.50830078125,176.31453707900522,173.45792582774143,175.2739882330989,92633200
2022-03-31,171.40626525878906,174.7635134764267,171.20011173735605,174.5769971900877,103049300
2022-04-01,171.11175537109375,171.67130419323556,168.78524495629924,170.83689401317795,78751300
2022-04-04,175.16600036621094,175.21508596620356,171.23939202795495,171.36701159217134,76468400
2022-04-05,171.84800720214844,175.02856526846452,171.21975048299214,174.2432406248137,73401800
2022-04-06,168.67727661132812,170.44425332917226,167.00847109179495,169.19755100896808,89058800
2022-04-07,168.98155212402344,170.179168602463,166.73357593477996,168.01953748650962,77594700
2022-04-08,166.9691925048828,168.62818685521674,166.0955227852114,168.62818685521674,76575500
2022-04-11,162.70880126953125,165.92861828036033,162.46338829627405,165.61449746357707,72246700
2022-04-12,164.5837860107422,166.75322864931675,163.58249672741925,164.93718134727843,79265200
2022-04-13,167.2735137939453,167.90177054609936,163.71012681510052,164.31874633095592,70618900
2022-04-14,162.2572479248047,168.12753750441655,162.01183493170848,167.4894547350742,75329400
2022-04-18,162.04127502441406,163.54320112838587,160.5687972770834,160.91236643083627,69023900
2022-04-19,164.3285369873047,164.7408440040976,160.90258113171808,161.99221543879506,67723800
2022-04-20,164.1616668701172,165.7814017275046,163.05241024771163,165.66359329680822,67929800
2022-04-21,163.3665313720703,168.38277391627963,162.86589422198446,165.81085035411152,87227800
2022-04-22,158.82144165039062,164.789886524094,158.53676921276283,163.405768839327,84882400
2022-04-25,159.89151000976562,160.17618254796838,155.55260922214882,158.16379260663697,96046400
2022-04-26,153.9230499267578,159.36139588708184,153.84451596249764,159.27305079434743,95623200
2022-04-27,153.697265625,156.85817138310125,152.52909731194325,153.0493716898695,88063200
2022-04-28,160.63754272460938,161.50140133184425,156.01395492484127,156.3280907743164,130216800
2022-04-29,154.7574462890625,163.15057467016825,154.36479144385027,158.87057095053723,131747600
2022-05-02,155.061767578125,155.32680285229077,150.45781697290937,153.83470249054395,123055300
2022-05-03,156.55384826660156,157.7612909458003,153.4518394989138,155.2482493800242,88966500
2022-05-04,162.97384643554688,163.4253979042394,156.33787025741282,156.7403511160265,108256500
2022-05-05,153.8936004638672,161.06947475751667,152.10698649205247,160.84369897364428,130525300
2022-05-06,154.6210479736328,156.74453495515866,151.5734500834341,153.3725141927135,116124600
2022-05-09,149.48931884765625,153.19558860822082,148.92896288962842,152.31079472594658,131577900
2022-05-10,151.89793395996094,154.0902456134072,150.3446427663641,152.8908690588683,115366700
2022-05-11,144.02330017089844,152.82199025284592,143.34496277337416,150.90495956472975,142689800
2022-05-12,140.14990234375,143.728364519164,136.45347366831103,140.35635871962023,182602000
2022-05-13,144.6230010986328,145.59626984264398,140.69062395231782,142.14559929622243,113990900
2022-05-16,143.07952880859375,145.02606620057162,141.7425200447831,143.08936935150413,86643800
2022-05-17,146.7169647216797,147.23800337983087,144.2002312963904,146.34338417401466,78336300
2022-05-18,138.43934631347656,144.86877642522347,137.5348863581385,144.36740373329286,109742900
2022-05-19,135.0279998779297,139.26513365262397,134.29067919785544,137.51522710531395,136095600
2022-05-20,135.26393127441406,138.3213549245238,130.36812621760984,136.73857261689477,137426100
2022-05-23,140.69064331054688,140.83810147349175,135.32294116689727,135.46057378592263,117726300
2022-05-24,137.9871063232422,139.56988862899178,135.00833201503448,138.4294957252956,104132700
2022-05-25,138.14439392089844,139.39291268865855,136.00124087715074,136.08971575030043,92482700
2022-05-26,141.3492889404297,141.89981931591748,134.82154377239428,135.067317332939,90601500
2022-05-27,147.1102294921875,147.1495466635664,142.80427168601537,142.93207874444667,90978500
2022-05-31,146.32373046875,148.11296903172044,144.35754215822934,146.54985292505484,103718400
2022-06-01,146.19595336914062,149.17472776391935,145.18335248498283,147.36582293275725,74286600
2022-06-02,148.65370178222656,148.712685042506,144.37723540201858,145.33083811208033,72348100
2022-06-03,142.9222412109375,145.46845161750497,142.01779633681872,144.4165336112239,88570300
2022-06-06,143.66941833496094,146.05834558258064,142.45037585050028,144.54437177114056,71598400
2022-06-07,146.19595336914062,146.48104410293644,141.66388825021798,141.9096618141491,67808200
2022-06-08,145.45863342285156,147.33633206027957,144.9670862924701,146.06814706425965,53950200
2022-06-09,140.22854614257812,145.4487735742131,140.1204051882147,144.59348648113703,69473000
2022-06-10,134.81175231933594,138.3803751202598,134.74292850458303,137.9084939649238,91437900
